id,session_id,tg_user_id,event_type,event_name,page,metadata,created_at,event_category,event_subtype,element_id,element_type,section,scroll_depth,time_spent,interaction_count,previous_event_id,step_number,completion_rate,error_message,custom_data
578,57,,content,content_view,,,2026-01-25 19:22:01,engagement,,,,,0,6056,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
579,62,,visit,source_visit,,,2026-01-25 19:22:57,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": ""https://spacegrow.vercel.app/""}"
580,62,,app,miniapp_open,,,2026-01-25 19:22:58,engagement,,,,,,,,,,,,"{""device"": ""mobile"", ""page_id"": ""main"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
581,62,,content,content_view,,,2026-01-25 19:22:58,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
582,62,,content,personal_path_view,,,2026-01-25 19:22:58,engagement,,,,,,0,,,,,,"{""open_time"": 1769368978203, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
583,62,,content,content_view,,,2026-01-25 19:23:34,engagement,,,,,0,36,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
584,57,,content,content_view,,,2026-01-25 19:23:35,engagement,,,,,0,6150,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
585,62,,content,content_view,,,2026-01-25 19:25:12,engagement,,,,,0,133,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
586,57,,content,content_view,,,2026-01-25 19:26:29,engagement,,,,,0,6324,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
587,63,,visit,source_visit,,,2026-01-25 19:26:42,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": ""https://spacegrow.vercel.app/""}"
