id,tg_user_id,cookie_id,source,linked_at,miniapp_id
2,999999,test_cookie_123,miniapp,2026-01-23 14:55:25,
5,317319336,7664b911-ba0b-4a31-852c-39c9b8641408,miniapp,2026-01-25 21:56:14,
